"len_mid","year","Abundance"
6,"Year 1",0.0799979345310926
6,"Year 2",0.100054783662935
6,"Year 3",0.0659294883388252
6,"Year 4",0.0653694243555322
6,"Year 5",0.042565813492904
6,"Year 6",0.0705067090916611
6,"Year 7",0.09740941264052
6,"Year 8",0.10540823048281
6,"Year 9",0.0681900844965615
6,"Year 10",0.127863700401447
6,"Year 11",0.0866467255652412
6,"Year 12",0.132058179540355
6,"Year 13",0.0762129177052428
6,"Year 14",0.0979991293690083
6,"Year 15",0.0545764729352896
6,"Year 16",0.147832101760256
6,"Year 17",0.0509667736261405
6,"Year 18",0.0761884124892237
6,"Year 19",0.0750193083129639
6,"Year 20",0.103689857025064
8,"Year 1",1.05624746455731
8,"Year 2",1.32122914464811
8,"Year 3",0.87051735703457
8,"Year 4",0.863027735702152
8,"Year 5",0.561985510544891
8,"Year 6",0.93083957435418
8,"Year 7",1.28628360821491
8,"Year 8",1.39200595262928
8,"Year 9",0.90039302744654
8,"Year 10",1.68815421570357
8,"Year 11",1.14409830735109
8,"Year 12",1.74332667896091
8,"Year 13",1.0062036914613
8,"Year 14",1.29355798962039
8,"Year 15",0.720413080184615
8,"Year 16",1.95171763750347
8,"Year 17",0.673044197272538
8,"Year 18",1.00560965396742
8,"Year 19",0.990448626306467
8,"Year 20",1.36900335799142
10,"Year 1",6.68839055483202
10,"Year 2",8.3900638808337
10,"Year 3",5.55009467322814
10,"Year 4",5.4752013679714
10,"Year 5",3.59116236576073
10,"Year 6",5.89253205763422
10,"Year 7",8.13930651871526
10,"Year 8",8.83934365860132
10,"Year 9",5.74346402713189
10,"Year 10",10.6935907669806
10,"Year 11",7.3211785974461
10,"Year 12",11.0525099437546
10,"Year 13",6.43540700940436
10,"Year 14",8.21658395253423
10,"Year 15",4.60399853168455
10,"Year 16",12.3387597050857
10,"Year 17",4.33269369743542
10,"Year 18",6.37732586371631
10,"Year 19",6.29351624030665
10,"Year 20",8.69351896239561
12,"Year 1",17.9572138480688
12,"Year 2",22.8269602509618
12,"Year 3",15.3854020470126
12,"Year 4",14.8337359428297
12,"Year 5",10.0592855261857
12,"Year 6",15.7995671423215
12,"Year 7",21.7758481527779
12,"Year 8",24.0457792815704
12,"Year 9",15.9580019795571
12,"Year 10",28.7612882348306
12,"Year 11",20.6352959319327
12,"Year 12",29.8514934964447
12,"Year 13",18.0977765089668
12,"Year 14",22.3937132789908
12,"Year 15",12.904392528433
12,"Year 16",32.8739209155197
12,"Year 17",12.5378071770361
12,"Year 18",17.2517202062004
12,"Year 19",17.1764092743629
12,"Year 20",23.6575967689335
14,"Year 1",20.9901525876676
14,"Year 2",28.6385476217971
14,"Year 3",21.1679306005491
14,"Year 4",18.2264751888112
14,"Year 5",14.5037288597295
14,"Year 6",18.3383726515867
14,"Year 7",24.9247126313624
14,"Year 8",30.1377844042861
14,"Year 9",22.1882635011345
14,"Year 10",33.9630239853427
14,"Year 11",30.5444481349171
14,"Year 12",36.0935751065169
14,"Year 13",26.5405240562325
14,"Year 14",28.4064174981324
14,"Year 15",18.6655535340669
14,"Year 16",36.7654012695291
14,"Year 17",20.5843415287316
14,"Year 18",21.0595012380822
14,"Year 19",21.9085450510424
14,"Year 20",29.7352257709461
16,"Year 1",19.602930487763
16,"Year 2",32.4027892612483
16,"Year 3",29.2457766537948
16,"Year 4",19.7241461594695
16,"Year 5",21.7206624822582
16,"Year 6",16.7980449481281
16,"Year 7",21.5294848319944
16,"Year 8",33.962434825484
16,"Year 9",31.2400387568763
16,"Year 10",32.8179298135264
16,"Year 11",47.5566277475619
16,"Year 12",37.5335828880943
16,"Year 13",40.8034954817264
16,"Year 14",33.4480117561247
16,"Year 15",28.1681684842597
16,"Year 16",29.4430612317214
16,"Year 17",36.7144287914835
16,"Year 18",22.632798540106
16,"Year 19",25.8784108523347
16,"Year 20",33.9578595939753
18,"Year 1",28.5678755557759
18,"Year 2",50.1905004388039
18,"Year 3",48.6636806874687
18,"Year 4",30.7116882280683
18,"Year 5",36.8973224499856
18,"Year 6",24.5025909894278
18,"Year 7",29.590638651936
18,"Year 8",52.3086207059514
18,"Year 9",52.2145145678557
18,"Year 10",48.82742461873
18,"Year 11",81.1188268695919
18,"Year 12",58.1342057271825
18,"Year 13",69.6610779879425
18,"Year 14",54.2713396710007
18,"Year 15",48.2294901135278
18,"Year 16",40.0078765130552
18,"Year 17",64.0718196103908
18,"Year 18",36.0624066029882
18,"Year 19",41.0754023722705
18,"Year 20",53.4145926232093
20,"Year 1",37.2956518535175
20,"Year 2",63.4932702611951
20,"Year 3",62.7836256165024
20,"Year 4",40.5105277356192
20,"Year 5",47.6421435119508
20,"Year 6",32.6136831804968
20,"Year 7",37.0986438472803
20,"Year 8",65.563833532588
20,"Year 9",67.2716951847989
20,"Year 10",64.4265643140484
20,"Year 11",103.666015056826
20,"Year 12",78.1208729544402
20,"Year 13",89.7464275206874
20,"Year 14",73.1648989070474
20,"Year 15",63.0572268996042
20,"Year 16",53.2206095475373
20,"Year 17",80.8581480870612
20,"Year 18",49.8347504599255
20,"Year 19",53.0552100766531
20,"Year 20",69.2366073202371
22,"Year 1",38.9090612951839
22,"Year 2",62.1433795260916
22,"Year 3",63.103975593131
22,"Year 4",42.7006980579845
22,"Year 5",47.9475080237425
22,"Year 6",35.1807723061963
22,"Year 7",36.3203948794566
22,"Year 8",62.9941146967637
22,"Year 9",67.3663189631212
22,"Year 10",68.2927835294764
22,"Year 11",102.278117252588
22,"Year 12",84.9317957700408
22,"Year 13",89.978587338397
22,"Year 14",79.6349224365435
22,"Year 15",64.9538737774208
22,"Year 16",57.9352407027917
22,"Year 17",77.6884016390153
22,"Year 18",56.3707866508165
22,"Year 19",53.9779731074077
22,"Year 20",70.7556258010135
24,"Year 1",35.6544691012894
24,"Year 2",51.6221684832195
24,"Year 3",54.5605131833922
24,"Year 4",39.7558026922205
24,"Year 5",41.7712974075874
24,"Year 6",33.8605989882108
24,"Year 7",30.2806360083333
24,"Year 8",50.4702529739168
24,"Year 9",57.8005542565617
24,"Year 10",64.0600732022173
24,"Year 11",86.213871878916
24,"Year 12",82.4119558648107
24,"Year 13",78.086260265488
24,"Year 14",77.5491550262606
24,"Year 15",58.8895639339818
24,"Year 16",56.6402936827619
24,"Year 17",62.6072435704929
24,"Year 18",57.3612227848564
24,"Year 19",48.1249521422137
24,"Year 20",63.0627325661931
26,"Year 1",31.545870648192
26,"Year 2",40.713294917705
26,"Year 3",44.9749372618206
26,"Year 4",35.8907597737909
26,"Year 5",35.1998116723001
26,"Year 6",31.7274242461833
26,"Year 7",24.1605806761626
26,"Year 8",37.4484141506101
26,"Year 9",46.9807705560589
26,"Year 10",58.215325626832
26,"Year 11",69.5776124410436
26,"Year 12",77.50900772652
26,"Year 13",65.8201548707697
26,"Year 14",73.5324319282357
26,"Year 15",52.4613000617582
26,"Year 16",54.2768752412921
26,"Year 17",47.6199089380295
26,"Year 18",56.1774787986862
26,"Year 19",42.219329425609
26,"Year 20",54.4885546068921
28,"Year 1",28.378548617752
28,"Year 2",33.7086100557057
28,"Year 3",38.0978247840627
28,"Year 4",32.9424922125917
28,"Year 5",31.0949347713833
28,"Year 6",30.0630776800465
28,"Year 7",20.4910967755003
28,"Year 8",28.7027192980753
28,"Year 9",38.9613124720273
28,"Year 10",53.5361020128049
28,"Year 11",59.1714350324082
28,"Year 12",73.0618156210806
28,"Year 13",58.7015270929494
28,"Year 14",70.2934942507795
28,"Year 15",49.0974417391841
28,"Year 16",52.8700899104857
28,"Year 17",38.7162643030185
28,"Year 18",54.0026121971464
28,"Year 19",39.3103549870589
28,"Year 20",48.9507944486064
30,"Year 1",25.7139696574311
30,"Year 2",29.9236273861751
30,"Year 3",33.3568341257898
30,"Year 4",30.3895074131282
30,"Year 5",28.8498133107931
30,"Year 6",28.4349566623735
30,"Year 7",18.8391560837706
30,"Year 8",23.7500053130655
30,"Year 9",33.1821669942714
30,"Year 10",49.1698182926201
30,"Year 11",53.7699220651428
30,"Year 12",68.1110264799913
30,"Year 13",55.4841205639498
30,"Year 14",66.8782826169911
30,"Year 15",47.8213491527177
30,"Year 16",51.6450996523355
30,"Year 17",35.0708996015728
30,"Year 18",50.2931979397163
30,"Year 19",38.4856443867081
30,"Year 20",45.7066235698922
32,"Year 1",22.7620800414971
32,"Year 2",27.2254844089215
32,"Year 3",29.1687633042659
32,"Year 4",27.3756648536271
32,"Year 5",26.9555778563806
32,"Year 6",26.2544744852429
32,"Year 7",17.8771726493074
32,"Year 8",20.5142884586047
32,"Year 9",28.0283177913696
32,"Year 10",43.8302923995669
32,"Year 11",49.847439989435
32,"Year 12",61.5528704248582
32,"Year 13",53.0577194742649
32,"Year 14",62.0980582211631
32,"Year 15",46.5822082565286
32,"Year 16",49.5429115271484
32,"Year 17",33.6428850456142
32,"Year 18",44.9052819141511
32,"Year 19",37.7685393100902
32,"Year 20",42.930357469371
34,"Year 1",19.4350397528677
34,"Year 2",24.4313078480992
34,"Year 3",24.9692818977301
34,"Year 4",23.8263188334229
34,"Year 5",24.6746537751143
34,"Year 6",23.5690182441055
34,"Year 7",16.8164777672763
34,"Year 8",17.8165302861298
34,"Year 9",22.9953215838073
34,"Year 10",37.5212456670437
34,"Year 11",45.458856484292
34,"Year 12",53.8620078715985
34,"Year 13",49.7458420566085
34,"Year 14",56.1958343982977
34,"Year 15",44.3974910688378
34,"Year 16",46.5121656291701
34,"Year 17",32.4586921292285
34,"Year 18",38.8086889216221
34,"Year 19",36.088576043715
34,"Year 20",39.8912509842846
36,"Year 1",16.1200740642575
36,"Year 2",21.3974448045997
36,"Year 3",21.0202598037353
36,"Year 4",20.186529277332
36,"Year 5",22.0256629443905
36,"Year 6",20.7827580658126
36,"Year 7",15.4949989801437
36,"Year 8",15.4524000896675
36,"Year 9",18.4552965344853
36,"Year 10",31.0743514971108
36,"Year 11",40.3782242177371
36,"Year 12",46.2677248790462
36,"Year 13",45.4040572101684
36,"Year 14",50.1425883414348
36,"Year 15",41.309399294631
36,"Year 16",43.0834543788745
36,"Year 17",30.9189448239955
36,"Year 18",33.2512339850043
36,"Year 19",33.3750386335579
36,"Year 20",36.7438543187479
38,"Year 1",13.1612454849416
38,"Year 2",18.3300895648914
38,"Year 3",17.6227310422962
38,"Year 4",16.8536641223196
38,"Year 5",19.240948181743
38,"Year 6",18.1903725596224
38,"Year 7",13.9937108669459
38,"Year 8",13.4789106201441
38,"Year 9",14.78527815153
38,"Year 10",25.2199549331276
38,"Year 11",34.9797290435412
38,"Year 12",39.5693201987224
38,"Year 13",40.4424324085606
38,"Year 14",44.5747410621509
38,"Year 15",37.66627130039
38,"Year 16",39.6418629028975
38,"Year 17",29.0128760729347
38,"Year 18",28.8811801843472
38,"Year 19",29.9848254678214
38,"Year 20",33.702403503463
40,"Year 1",10.6687865748595
40,"Year 2",15.3970699162421
40,"Year 3",14.8004991206686
40,"Year 4",13.9696409693448
40,"Year 5",16.4881512406388
