"len_mid","year","Abundance"
6,"Year 1",0.0801846863282706
6,"Year 2",0.100512693437495
6,"Year 3",0.0662155119795669
6,"Year 4",0.0655906475986445
6,"Year 5",0.0426717247005485
6,"Year 6",0.0708875631215792
6,"Year 7",0.0977767408676815
6,"Year 8",0.105993332536757
6,"Year 9",0.0679125499701
6,"Year 10",0.128360353852368
6,"Year 11",0.0869239128659822
6,"Year 12",0.132918091924968
6,"Year 13",0.076036534290165
6,"Year 14",0.098519144519721
6,"Year 15",0.0542800126395862
6,"Year 16",0.148666114881322
6,"Year 17",0.0509489895221904
6,"Year 18",0.0767216266087433
6,"Year 19",0.070109914576296
6,"Year 20",0.103270691662582
8,"Year 1",1.05585493706294
8,"Year 2",1.32374064918071
8,"Year 3",0.871924971529068
8,"Year 4",0.863589919082173
8,"Year 5",0.561818424455533
8,"Year 6",0.933324123218283
8,"Year 7",1.28767846903635
8,"Year 8",1.39601054144925
8,"Year 9",0.894303042655555
8,"Year 10",1.69021048987004
8,"Year 11",1.14470120774483
8,"Year 12",1.75002032692169
8,"Year 13",1.00118198898015
8,"Year 14",1.29694226443831
8,"Year 15",0.714537077543337
8,"Year 16",1.95752455475801
8,"Year 17",0.670978541781609
8,"Year 18",1.00990490826259
8,"Year 19",0.92312937433733
8,"Year 20",1.35981415706753
10,"Year 1",6.66644000385397
10,"Year 2",8.38267825088058
10,"Year 3",5.54359487587128
10,"Year 4",5.46299747629806
10,"Year 5",3.58055312094057
10,"Year 6",5.89094958229002
10,"Year 7",8.1245050395365
10,"Year 8",8.83985430755542
10,"Year 9",5.6890686017216
10,"Year 10",10.6763950502196
10,"Year 11",7.30573172319096
10,"Year 12",11.0627623174675
10,"Year 13",6.3864061307442
10,"Year 14",8.21526962922015
10,"Year 15",4.55411572519332
10,"Year 16",12.3399287166492
10,"Year 17",4.30882388457793
10,"Year 18",6.38613550473444
10,"Year 19",5.84966803363386
10,"Year 20",8.61843358500755
12,"Year 1",17.8481795718071
12,"Year 2",22.7568042758378
12,"Year 3",15.3329783669521
12,"Year 4",14.7615667440115
12,"Year 5",10.0128137126189
12,"Year 6",15.7498704329926
12,"Year 7",21.6764060648957
12,"Year 8",23.990414984638
12,"Year 9",15.7755927392921
12,"Year 10",28.6463710629789
12,"Year 11",20.5583577727221
12,"Year 12",29.7965775252178
12,"Year 13",17.9309733826678
12,"Year 14",22.3420243985859
12,"Year 15",12.7406951919014
12,"Year 16",32.7909878311778
12,"Year 17",12.4580556539073
12,"Year 18",17.2300530297991
12,"Year 19",15.9325849095887
12,"Year 20",23.4945166008731
14,"Year 1",20.8524907638083
14,"Year 2",28.6166187121374
14,"Year 3",21.1287920206192
14,"Year 4",18.1413639587844
14,"Year 5",14.4904250777979
14,"Year 6",18.264705673711
14,"Year 7",24.8059040869125
14,"Year 8",30.1126557904886
14,"Year 9",21.9935286556008
14,"Year 10",33.8865923693534
14,"Year 11",30.5421688572941
14,"Year 12",36.0137602355061
14,"Year 13",26.3957244612066
14,"Year 14",28.4145767947221
14,"Year 15",18.4815248150031
14,"Year 16",36.7005231179674
14,"Year 17",20.5675354581268
14,"Year 18",21.0404517689629
14,"Year 19",20.3833680967314
14,"Year 20",30.2007788725408
