"estimate","lower","upper","Year"
37.2018975978038,36.5539122022391,37.8498829933686,1
52.9169523925081,52.0520454479423,53.7818593370739,2
54.2499326901776,53.294310959276,55.2055544210791,3
50.708671287283,49.8164189323435,51.6009236422224,4
59.5546757146656,58.52256584161,60.5867855877212,5
61.2369089758422,60.1230465999311,62.3507713517534,6
49.5839997906375,48.646358494613,50.5216410866619,7
50.5981288849314,49.6471024324778,51.549155337385,8
49.4837584800006,48.608989147694,50.3585278123072,9
72.5372602266577,71.4639443155775,73.6105761377378,10
102.727868220585,101.09685197259,104.358884468579,11
126.92833163109,124.747409584984,129.109253677196,12
133.721608867957,131.391085362174,136.052132373741,13
161.583149778302,158.784775466386,164.381524090218,14
142.431415898309,139.789546537452,145.073285259167,15
162.951824740923,160.081310376815,165.822339105031,16
126.864175640895,124.274341687862,129.454009593929,17
127.18985409253,124.713835722596,129.665872462464,18
118.234381669587,116.055518814067,120.413244525107,19
144.046902797098,141.874697703402,146.219107890794,20
