"estimate","lower","upper","Year"
782.873093967715,773.10136153726,792.644826398171,1
1065.94505838462,1052.71353292634,1079.1765838429,2
913.681690044603,903.008836432889,924.354543656316,3
777.721401461678,768.601361750112,786.841441173243,4
712.785763832019,704.968464775231,720.603062888808,5
772.567361102052,763.355061203405,781.7796610007,6
853.384673619969,841.918490746103,864.850856493836,7
1059.35050746813,1045.59627765597,1073.1047372803,8
932.622324569546,922.412546108772,942.83210303032,9
1341.50794078818,1326.03001834546,1356.9858632309,10
1424.3514165049,1408.82430414037,1439.87852886943,11
1633.91776191803,1615.21764298972,1652.61788084634,12
1368.76428536963,1354.51165714621,1383.01691359306,13
1498.15704667161,1482.38340063457,1513.93069270865,14
1099.29623833678,1088.49436460817,1110.09811206539,15
1558.181366693,1539.87977953329,1576.4829538527,16
1067.95633072262,1056.39862393121,1079.51403751402,17
1109.81942081874,1097.79388280889,1121.84495882858,18
1050.09852940529,1041.2342621773,1058.96279663328,19
1353.45333228513,1339.83898942387,1367.06767514639,20
