"AgeGroup","Year","estimate","lower","upper"
"Age group 1",1,387.436473857158,378.914537818875,395.958409895442
"Age group 2",1,151.671858905803,146.238004763406,157.105713048199
"Age group 3",1,122.035903981147,114.861060332652,129.210747629642
"Age group 4",1,63.3768387782519,55.9599844173552,70.7936931391485
"Age group 5",1,28.3199005764328,22.5988639460612,34.0409372068044
"Age group 6",1,14.0113697784983,10.4623982573965,17.5603412996002
"Age group 7",1,7.4557191180885,5.08193185791149,9.82950637826551
"Age group 8",1,4.02469171006186,2.62543247147991,5.4239509486438
"Age group 9",1,2.16261201104848,1.2908626723846,3.03436134971236
"Age group 10",1,1.15096336051705,0.546721401907661,1.75520531912644
"Age group 11",1,0.605883905235911,0.187318195800635,1.02444961467119
"Age group 12",1,0.319115638830039,0.0382626377932938,0.599968639866784
"Age group 13",1,0.167987864503368,-0.0129117647495415,0.348887493756277
"Age group 14",1,0.0878839315489187,-0.0236162927011288,0.199384155798966
"Age group 15",1,0.045890550590681,-0.0209646557261375,0.112745756907499
"Age group 1",2,483.137432524216,471.718366376856,494.556498671576
"Age group 2",2,289.405224169986,281.898600961691,296.911847378281
"Age group 3",2,113.065824497089,107.613348250513,118.518300743664
"Age group 4",2,91.134537580728,85.1735783549032,97.0954968065528
"Age group 5",2,47.3500631783729,41.3939549481034,53.3061714086423
"Age group 6",2,20.7125519147045,16.19984687545,25.2252569539589
"Age group 7",2,9.98929454154673,7.17130813945246,12.807280943641
"Age group 8",2,5.1780092165353,3.32077838045758,7.03524005261301
"Age group 9",2,2.76360898236021,1.6712230966109,3.85599486810951
"Age group 10",2,1.4900637060297,0.816475984149244,2.16365142791016
"Age group 11",2,0.80058898953994,0.346367063845553,1.25481091523433
"Age group 12",2,0.425427853177585,0.117283689152487,0.733572017202684
"Age group 13",2,0.225993963864699,0.0210720435822415,0.430915884147156
"Age group 14",2,0.119827418828218,-0.0118725298980382,0.251527367554474
"Age group 15",2,0.146609847643857,-0.0264160150219811,0.319635710309695
"Age group 1",3,316.870990899932,309.158642650317,324.583339149547
"Age group 2",3,272.828397652095,264.081354221139,281.575441083052
"Age group 3",3,161.129125237994,152.159817493448,170.09843298254
"Age group 4",3,62.8968422078312,54.4779672101465,71.3157172055159
"Age group 5",3,52.0143934220116,44.1106078477998,59.9181789962233
"Age group 6",3,25.6146382931952,19.4888969461355,31.740379640255
"Age group 7",3,10.7984042987776,6.88404474123087,14.7127638563244
"Age group 8",3,5.11480950039357,2.80113209453307,7.42848690625407
"Age group 9",3,2.76525830534386,1.3075113416757,4.22300526901201
"Age group 10",3,1.58735419553425,0.677244118446817,2.49746427262169
"Age group 11",3,0.915138964886766,0.346119964167798,1.48415796560573
"Age group 12",3,0.516591234353069,0.152319990871232,0.880862477834906
"Age group 13",3,0.284321238819227,0.0493287853607329,0.519313692277722
"Age group 14",3,0.154840676344165,0.00270596157569628,0.306975391112633
"Age group 15",3,0.190583917090422,-0.013923472923245,0.39509130710409
"Age group 1",4,315.877478372113,308.552059602071,323.202897142155
"Age group 2",4,161.886411301405,155.951855979594,167.820966623216
"Age group 3",4,137.796176819387,129.516154186117,146.076199452657
"Age group 4",4,80.6112204266953,72.148188195521,89.0742526578695
"Age group 5",4,33.0418802971677,26.2910244731365,39.792736121199
"Age group 6",4,25.389499847836,19.5686145515043,31.2103851441675
"Age group 7",4,11.935302683577,7.34851520304339,16.5220901641107
"Age group 8",4,4.94391883737299,2.33288900197791,7.55494867276806
"Age group 9",4,2.4799534193777,0.933364541327065,4.02654229742834
"Age group 10",4,1.48200257853847,0.410670719546228,2.55333443753071
"Age group 11",4,0.93124036134101,0.202251663146176,1.66022905953584
"Age group 12",4,0.573215125001434,0.104229023699593,1.04220122630327
"Age group 13",4,0.338701099133283,0.0445798279549466,0.63282237031162
"Age group 14",4,0.192276826902551,0.00901760203974517,0.375536051765356
"Age group 15",4,0.242123465830082,-0.0056236039510402,0.489870535611204
"Age group 1",5,204.027788638865,199.023661046855,209.031916230875
"Age group 2",5,208.020248379501,201.876958967975,214.163537791028
"Age group 3",5,106.045925712462,99.9128208600115,112.179030564913
"Age group 4",5,89.8118999344591,83.3325259759668,96.2912738929514
"Age group 5",5,53.749850518323,48.0392296215109,59.4604714151351
"Age group 6",5,21.2085613218397,16.977443734423,25.4396789092564
"Age group 7",5,15.7824522107525,11.8093988815022,19.7555055400028
"Age group 8",5,7.15067762714839,4.06921764386106,10.2321376104357
"Age group 9",5,2.96436975677053,1.27407574732039,4.65466376622068
"Age group 10",5,1.53209816169624,0.46672145938494,2.59747486400754
"Age group 11",5,0.951001322173121,0.159753800321088,1.74224884402516
"Age group 12",5,0.617247025815583,0.0540451365189349,1.18044891511223
"Age group 13",5,0.389878706393666,0.0193110078987353,0.760446404888596
"Age group 14",5,0.234741936239646,0.00219028224215187,0.46729359023714
"Age group 15",5,0.299022579579064,-0.0110074799950644,0.609052639153192
"Age group 1",6,341.528374967052,333.641739928648,349.415010005457
"Age group 2",6,124.527881142864,119.671264392858,129.38449789287
"Age group 3",6,126.179504867029,119.55974282532,132.799266908738
"Age group 4",6,63.499386971149,56.6534642826344,70.3453096596636
"Age group 5",6,55.7628991747734,48.9868869274171,62.5389114221296
"Age group 6",6,31.8302000403233,26.2535551335326,37.4068449471141
"Age group 7",6,12.1448430186912,8.77348619927447,15.516199838108
"Age group 8",6,8.70353685245805,5.68149024436845,11.7255834605477
"Age group 9",6,4.02877482907949,2.05755467831931,5.99999497983967
"Age group 10",6,1.75794989478101,0.663650272694465,2.85224951686756
"Age group 11",6,0.955820155742355,0.216789439696756,1.69485087178795
"Age group 12",6,0.61791625515416,0.0384731478739618,1.19735936243436
"Age group 13",6,0.414116525827662,-0.0131145404888653,0.84134759214419
"Age group 14",6,0.267687575927301,-0.0190834568137196,0.554458608668323
"Age group 15",6,0.348468831200438,-0.0356599041093277,0.732597566510204
"Age group 1",7,472.222302504377,461.530337055624,482.91426795313
"Age group 2",7,169.366756227525,164.0636770201,174.669835434951
"Age group 3",7,61.113295366484,55.3238464919142,66.9027442410538
"Age group 4",7,62.014412775975,54.7888429011588,69.2399826507912
"Age group 5",7,33.3078510447867,26.3500960262047,40.2656060633688
"Age group 6",7,26.5705908549832,20.2974131624568,32.8437685475096
"Age group 7",7,14.4978983125284,9.14390394899812,19.8518926760587
"Age group 8",7,5.31993071302945,2.64127586444145,7.99858556161745
"Age group 9",7,4.13706185430813,2.00833350901928,6.26579019959698
"Age group 10",7,2.14695982896271,0.829238225852061,3.46468143207335
"Age group 11",7,1.02869526571647,0.265651967309405,1.79173856412353
"Age group 12",7,0.59565219989366,0.0648554813918837,1.12644891839544
"Age group 13",7,0.40328814696989,-0.0234787833026935,0.830055077242473
"Age group 14",7,0.279054832520788,-0.0427510821512553,0.600860747192831
"Age group 15",7,0.380923691908029,-0.0659969114151687,0.827844295231227
"Age group 1",8,509.049872798388,497.014024452894,521.085721143882
"Age group 2",8,306.268472836826,297.876514572714,314.660431100938
"Age group 3",8,108.299710035917,102.847920510301,113.751499561533
"Age group 4",8,39.1108345876338,34.9125939642812,43.3090752109865
"Age group 5",8,41.3931009720012,36.6881188130011,46.0980831310013
"Age group 6",8,21.2701624427013,16.9515530801542,25.5887718052484
"Age group 7",8,16.4972622881846,12.334500628175,20.6600239481943
"Age group 8",8,8.53044044195497,4.91089026284405,12.1499906210659
"Age group 9",8,3.18869098604921,1.49994451227029,4.87743745982813
"Age group 10",8,2.58036221768939,1.09393047147793,4.06679396390085
"Age group 11",8,1.39376059280882,0.413728769065789,2.37379241655185
"Age group 12",8,0.687461334012018,0.111025423670817,1.26389724435322
"Age group 13",8,0.40701899878987,0.00624870831527702,0.807789289264462
"Age group 14",8,0.280130050591733,-0.0425317305854196,0.602791831768885
"Age group 15",8,0.39322688458538,-0.0765020410239122,0.862955810194673
"Age group 1",9,327.56467157457,320.370462529981,334.758880619159
"Age group 2",9,293.603446880784,284.804631180093,302.402262581476
"Age group 3",9,173.766247439155,165.403231382467,182.129263495842
"Age group 4",9,60.4584223715704,53.7360321338752,67.1808126092655
"Age group 5",9,23.2559332762501,18.8946080978112,27.6172584546889
"Age group 6",9,23.122410790434,18.4919063482798,27.7529152325883
"Age group 7",9,11.7653683885666,8.51345194108758,15.0172848360455
"Age group 8",9,8.64799977450851,5.59026941328123,11.7057301357358
"Age group 9",9,4.79506079466307,2.57359307653832,7.01652851278781
"Age group 10",9,1.92003597968615,0.839723250493221,3.00034870887908
"Age group 11",9,1.64539269062857,0.565767979280651,2.7250174019765
"Age group 12",9,0.923856753648649,0.178999299017403,1.6687142082799
"Age group 13",9,0.468306397157672,0.0282953264235136,0.90831746789183
"Age group 14",9,0.282174323879079,-0.0220917716880218,0.586440419446179
"Age group 15",9,0.402997134044376,-0.0526534330258976,0.858647701114649
"Age group 1",10,618.95416931204,605.408577704246,632.499760919835
"Age group 2",10,254.393064197694,247.929030194185,260.857098201203
"Age group 3",10,228.66608022335,221.771271924011,235.560888522688
"Age group 4",10,134.792727880319,128.706495357288,140.87896040335
"Age group 5",10,46.9636002321088,42.0023726583672,51.9248278058503
"Age group 6",10,17.7297638130543,14.4722274877372,20.9873001383715
"Age group 7",10,17.4536939953588,13.9039595994452,21.0034283912723
"Age group 8",10,8.63225158764523,6.16012661670017,11.1043765585903
"Age group 9",10,6.33647696556398,4.0360773463591,8.63687658476886
"Age group 10",10,3.50353460453106,1.83782293868427,5.16924627037785
"Age group 11",10,1.40475067629348,0.583042062850875,2.22645928973609
"Age group 12",10,1.20386113169624,0.360772658104832,2.04694960528765
"Age group 13",10,0.676234581817561,0.0924562906963283,1.26001287293879
"Age group 14",10,0.342410965277134,-0.000689916002026225,0.685511846556294
"Age group 15",10,0.455320621429052,-0.014192351276983,0.924833594135088
