"LengthGroup","Year","estimate","lower","upper"
"Length bin <7",1,16.1063712828326,15.7281909498322,16.4845516158329
"Length bin 7-9",1,66.2221959556972,64.7529546024053,67.6914373089891
"Length bin 9-11",1,133.76781109664,130.809495435276,136.726126758005
"Length bin 11-13",1,123.030209718626,120.405341634574,125.655077802678
"Length bin 13-15",1,58.8140533904569,57.6513989626569,59.9767078182569
"Length bin 15-17",1,30.4814621402477,29.8226256413957,31.1402986390997
"Length bin 17-19",1,33.4501904292575,32.5716416474929,34.328739211022
"Length bin 19-21",1,39.2585808984394,38.3330317456073,40.1841300512716
"Length bin 21-23",1,39.5397219130821,38.761975044587,40.3174687815772
"Length bin 23-25",1,35.832443482824,35.1881908499096,36.4766961157384
"Length bin 25-27",1,31.5943642672005,30.9346174131553,32.2541111212458
"Length bin 27-29",1,28.3919834057558,27.7275265232046,29.0564402883071
"Length bin 29-31",1,25.7177185960019,25.1465304958531,26.2889066961508
"Length bin 31-33",1,22.76310203869,22.3164547635624,23.2097493138176
"Length bin 33-35",1,19.4353084863313,19.0631067307776,19.8075102418851
"Length bin 35-37",1,16.120142708151,15.7835365416771,16.4567488746249
"Length bin 37-39",1,13.1612627445297,12.871248055306,13.4512774337534
"Length bin 39-41",1,10.6687908835671,10.4408520430392,10.8967297240951
"Length bin 41-43",1,8.60052240662894,8.42438589534572,8.77665891791217
"Length bin 43-45",1,6.88185042310947,6.73184132239905,7.03185952381989
"Length bin 45-47",1,5.45720509777288,5.31938589914774,5.59502429639803
"Length bin 47-49",1,4.28815924732662,4.1629842409168,4.41333425373645
"Length bin >49",1,13.2900441268864,12.6887316406479,13.8913566131249
"Length bin <7",2,20.1445137770699,19.6470976099757,20.641929944164
"Length bin 7-9",2,82.8354133431563,80.8854522445224,84.7853744417902
"Length bin 9-11",2,167.801277616674,163.861884381953,171.740670851396
"Length bin 11-13",2,156.394289819999,152.887580840669,159.900998799329
"Length bin 13-15",2,80.2447272271437,78.7040686220772,81.7853858322103
"Length bin 15-17",2,50.3845276971075,49.39658857846,51.3724668157549
"Length bin 17-19",2,58.7681710577277,57.4150862635592,60.1212558518963
"Length bin 19-21",2,66.8350213275737,65.3895568499061,68.2804858052414
"Length bin 21-23",2,63.1506354409254,61.9133329388404,64.3879379430104
"Length bin 23-25",2,51.879847919791,50.9634517094692,52.7962441301128
