"estimate","lower","upper","Year"
70.8145901831502,69.9622497030984,71.6669306632021,1
98.0109626376178,96.8836248252057,99.1383004500298,2
100.006573951228,98.7890145743597,101.224133328097,3
88.614526266442,87.5055204241475,89.7235321087364,4
97.7443952199362,96.5103446493126,98.9784457905597,5
96.3157975733845,95.0392762492306,97.5923188975384,6
79.2314634990071,78.1772215986728,80.2857053993414,7
91.0313332037978,89.902547240563,92.1601191670325,8
95.6980396535225,94.5668652618368,96.8292140452081,9
134.051331946065,132.605384764711,135.497279127419,10
177.730850896451,175.648595751344,179.813106041559,11
208.535599184192,205.911984537699,211.159213830684,12
207.216150399164,204.532972404928,209.8993283934,13
240.782756485805,237.619398719217,243.946114252393,14
202.366723191864,199.495059653753,205.238386729974,15
227.451020311071,224.345069562009,230.556971060133,16
180.237208485345,177.477693934112,182.996723036578,17
184.525058969015,181.841183293589,187.208934644442,18
168.25644707503,165.982620717736,170.530273432323,19
205.234480742647,202.92357655588,207.545384929414,20
