"AgeGroup","Year","CNA"
"Age group 1",1,30.8230397239564
"Age group 2",1,12.32100299857
"Age group 3",1,9.73448456424089
"Age group 4",1,5.03184683951594
"Age group 5",1,2.74370167081154
"Age group 6",1,1.64464714274787
"Age group 7",1,1.02814590305755
"Age group 8",1,0.590135025110458
"Age group 9",1,0.31144648951382
"Age group 10",1,0.157334300074709
"Age group 11",1,0.0783861334037328
"Age group 12",1,0.0391451749446067
"Age group 13",1,0.0196495776784952
"Age group 14",1,0.00988810794206516
"Age group 15",1,0.00501699234634366
"Age group 1",2,136.704680686559
"Age group 2",2,84.4675868617993
"Age group 3",2,33.0603075583714
"Age group 4",2,25.169002196452
"Age group 5",2,14.6601391407493
"Age group 6",2,6.86992354269006
"Age group 7",2,3.41805369957865
"Age group 8",2,1.64348503850507
"Age group 9",2,0.751973120319349
"Age group 10",2,0.339057322268144
"Age group 11",2,0.154346766790803
"Age group 12",2,0.0710768939012927
"Age group 13",2,0.0335171567304792
"Age group 14",2,0.0161358945222019
"Age group 15",2,0.0183499642033248
"Age group 1",3,108.83073020449
"Age group 2",3,95.4952087915481
"Age group 3",3,57.2659266381477
"Age group 4",3,20.5792031443577
"Age group 5",3,19.2000584934017
"Age group 6",3,10.0967792003555
"Age group 7",3,4.35571813233445
"Age group 8",3,1.90689511802194
"Age group 9",3,0.87178422513885
"Age group 10",3,0.410058749106928
"Age group 11",3,0.19574470800723
"Age group 12",3,0.0936087581392776
"Age group 13",3,0.044983161929252
"Age group 14",3,0.0219341948377731
"Age group 15",3,0.0247838613656676
"Age group 1",4,56.2161828354183
"Age group 2",4,29.4397791953087
"Age group 3",4,25.5647626278539
"Age group 4",4,13.6062151848774
"Age group 5",4,6.49543215238886
"Age group 6",4,5.56569293856428
"Age group 7",4,2.91670164885819
"Age group 8",4,1.20552254546638
"Age group 9",4,0.554228994503628
"Age group 10",4,0.291614218784885
"Age group 11",4,0.161290707515268
"Age group 12",4,0.0882018384240729
"Age group 13",4,0.0472486853620515
"Age group 14",4,0.0247650568543273
"Age group 15",4,0.0293046595666086
"Age group 1",5,47.2958849830338
"Age group 2",5,49.0998550509553
"Age group 3",5,25.9540841752442
"Age group 4",5,19.7609698973963
"Age group 5",5,13.5521797845283
"Age group 6",5,5.81216191321063
"Age group 7",5,4.7001245688635
"Age group 8",5,2.03364796638356
"Age group 9",5,0.744646629153395
