"residual","LengthGroup","year"
0.00233173712341816,"Length bin <7",1
0.00456614977450087,"Length bin <7",2
0.00432894300533437,"Length bin <7",3
0.00337848704929034,"Length bin <7",4
0.00248508496127409,"Length bin <7",5
0.0053871340758942,"Length bin <7",6
0.00376388031850095,"Length bin <7",7
0.00553547040636237,"Length bin <7",8
-0.00407831798741398,"Length bin <7",9
0.00387671699584224,"Length bin <7",10
0.00319394499997427,"Length bin <7",11
0.0064905087435041,"Length bin <7",12
-0.00231703289145191,"Length bin <7",13
0.00529229525737396,"Length bin <7",14
-0.00544682344066594,"Length bin <7",15
0.00562576955889726,"Length bin <7",16
-0.000348996143113567,"Length bin <7",17
0.00697424817839343,"Length bin <7",18
-0.0676813057819263,"Length bin <7",19
-0.00405068442541534,"Length bin <7",20
-0.000371693624881146,"Length bin 7-9",1
0.00189908050615367,"Length bin 7-9",2
0.00161568021808095,"Length bin 7-9",3
0.000651196167640089,"Length bin 7-9",4
-0.000297358080686205,"Length bin 7-9",5
0.00266559244606857,"Length bin 7-9",6
0.00108382401614382,"Length bin 7-9",7
0.00287271727585758,"Length bin 7-9",8
-0.00678667354018589,"Length bin 7-9",9
0.0012173193835493,"Length bin 7-9",10
0.000526826752364401,"Length bin 7-9",11
0.00383223088998152,"Length bin 7-9",12
-0.00500323680247755,"Length bin 7-9",13
0.0026128364496168,"Length bin 7-9",14
-0.00818988095661294,"Length bin 7-9",15
0.00297086813247116,"Length bin 7-9",16
-0.00307384251375037,"Length bin 7-9",17
0.00426219773161244,"Length bin 7-9",18
-0.0703886064758748,"Length bin 7-9",19
-0.00673495798679868,"Length bin 7-9",20
-0.0032872855478796,"Length bin 9-11",1
-0.000880670599055833,"Length bin 9-11",2
-0.0011718009724071,"Length bin 9-11",3
-0.00223142711354196,"Length bin 9-11",4
-0.00295863732432511,"Length bin 9-11",5
-0.000268592153333191,"Length bin 9-11",6
-0.00182017397486778,"Length bin 9-11",7
5.77683394036299e-05,"Length bin 9-11",8
-0.00951597299589779,"Length bin 9-11",9
-0.00160933382169137,"Length bin 9-11",10
-0.00211211796052102,"Length bin 9-11",11
0.000927175964764437,"Length bin 9-11",12
-0.00764339905491607,"Length bin 9-11",13
-0.000159972617860049,"Length bin 9-11",14
-0.0108937928508155,"Length bin 9-11",15
9.47385488605512e-05,"Length bin 9-11",16
-0.00552446334551915,"Length bin 9-11",17
0.00138044722553077,"Length bin 9-11",18
-0.0731350219887006,"Length bin 9-11",19
-0.00867445171253101,"Length bin 9-11",20
-0.00609040163401309,"Length bin 11-13",1
-0.00307811481763665,"Length bin 11-13",2
-0.00341318326343476,"Length bin 11-13",3
-0.00487708084169736,"Length bin 11-13",4
-0.00463049689515183,"Length bin 11-13",5
-0.00315040484089923,"Length bin 11-13",6
-0.00457708182367744,"Length bin 11-13",7
-0.0023051085662833,"Length bin 11-13",8
-0.0114964126141048,"Length bin 11-13",9
-0.00400355376800121,"Length bin 11-13",10
-0.0037354418340958,"Length bin 11-13",11
-0.00184133319996471,"Length bin 11-13",12
-0.00925951183914808,"Length bin 11-13",13
-0.00231085508320916,"Length bin 11-13",14
-0.0127665431802324,"Length bin 11-13",15
-0.00252594970496434,"Length bin 11-13",16
-0.0063811995040628,"Length bin 11-13",17
-0.00125673230925871,"Length bin 11-13",18
-0.075170511037908,"Length bin 11-13",19
-0.00691722201443312,"Length bin 11-13",20
-0.00658000114339119,"Length bin 13-15",1
-0.000766006358412952,"Length bin 13-15",2
-0.00185066779056031,"Length bin 13-15",3
-0.00468058523164716,"Length bin 13-15",4
-0.000917687261637656,"Length bin 13-15",5
-0.00402518480464131,"Length bin 13-15",6
-0.00477809359002723,"Length bin 13-15",7
-0.000834138810380747,"Length bin 13-15",8
-0.00881521989333622,"Length bin 13-15",9
-0.00225297215888798,"Length bin 13-15",10
-7.46244508618155e-05,"Length bin 13-15",11
-0.00221378042133313,"Length bin 13-15",12
