"length","Year","residual"
6,"Year 1",0.00233173712341816
6,"Year 2",0.00456614977450087
6,"Year 3",0.00432894300533437
6,"Year 4",0.00337848704929034
6,"Year 5",0.00248508496127409
6,"Year 6",0.0053871340758942
6,"Year 7",0.00376388031850095
6,"Year 8",0.00553547040636237
6,"Year 9",-0.00407831798741398
6,"Year 10",0.00387671699584224
6,"Year 11",0.00319394499997427
6,"Year 12",0.0064905087435041
6,"Year 13",-0.00231703289145191
6,"Year 14",0.00529229525737396
6,"Year 15",-0.00544682344066594
6,"Year 16",0.00562576955889726
6,"Year 17",-0.000348996143113567
6,"Year 18",0.00697424817839343
6,"Year 19",-0.0676813057819263
6,"Year 20",-0.00405068442541534
8,"Year 1",-0.000371693624881146
8,"Year 2",0.00189908050615367
8,"Year 3",0.00161568021808095
8,"Year 4",0.000651196167640089
8,"Year 5",-0.000297358080686205
8,"Year 6",0.00266559244606857
8,"Year 7",0.00108382401614382
8,"Year 8",0.00287271727585758
8,"Year 9",-0.00678667354018589
8,"Year 10",0.0012173193835493
8,"Year 11",0.000526826752364401
8,"Year 12",0.00383223088998152
8,"Year 13",-0.00500323680247755
8,"Year 14",0.0026128364496168
8,"Year 15",-0.00818988095661294
8,"Year 16",0.00297086813247116
8,"Year 17",-0.00307384251375037
8,"Year 18",0.00426219773161244
8,"Year 19",-0.0703886064758748
8,"Year 20",-0.00673495798679868
10,"Year 1",-0.0032872855478796
10,"Year 2",-0.000880670599055833
10,"Year 3",-0.0011718009724071
10,"Year 4",-0.00223142711354196
10,"Year 5",-0.00295863732432511
10,"Year 6",-0.000268592153333191
10,"Year 7",-0.00182017397486778
10,"Year 8",5.77683394036299e-05
10,"Year 9",-0.00951597299589779
10,"Year 10",-0.00160933382169137
10,"Year 11",-0.00211211796052102
10,"Year 12",0.000927175964764437
10,"Year 13",-0.00764339905491607
10,"Year 14",-0.000159972617860049
10,"Year 15",-0.0108937928508155
10,"Year 16",9.47385488605512e-05
10,"Year 17",-0.00552446334551915
10,"Year 18",0.00138044722553077
10,"Year 19",-0.0731350219887006
10,"Year 20",-0.00867445171253101
12,"Year 1",-0.00609040163401309
12,"Year 2",-0.00307811481763665
12,"Year 3",-0.00341318326343476
12,"Year 4",-0.00487708084169736
12,"Year 5",-0.00463049689515183
12,"Year 6",-0.00315040484089923
12,"Year 7",-0.00457708182367744
12,"Year 8",-0.0023051085662833
12,"Year 9",-0.0114964126141048
12,"Year 10",-0.00400355376800121
12,"Year 11",-0.0037354418340958
12,"Year 12",-0.00184133319996471
12,"Year 13",-0.00925951183914808
12,"Year 14",-0.00231085508320916
12,"Year 15",-0.0127665431802324
12,"Year 16",-0.00252594970496434
12,"Year 17",-0.0063811995040628
12,"Year 18",-0.00125673230925871
12,"Year 19",-0.075170511037908
12,"Year 20",-0.00691722201443312
14,"Year 1",-0.00658000114339119
14,"Year 2",-0.000766006358412952
14,"Year 3",-0.00185066779056031
14,"Year 4",-0.00468058523164716
14,"Year 5",-0.000917687261637656
14,"Year 6",-0.00402518480464131
14,"Year 7",-0.00477809359002723
14,"Year 8",-0.000834138810380747
14,"Year 9",-0.00881521989333622
14,"Year 10",-0.00225297215888798
14,"Year 11",-7.46244508618155e-05
14,"Year 12",-0.00221378042133313
14,"Year 13",-0.00547072980129437
14,"Year 14",0.000287193026004662
14,"Year 15",-0.00990819374140761
14,"Year 16",-0.00176621117799192
14,"Year 17",-0.000816782745753031
14,"Year 18",-0.000904963975431272
14,"Year 19",-0.0721574667540708
14,"Year 20",0.0155353186323586
16,"Year 1",-9.556962669377e-05
16,"Year 2",0.00965189186690862
16,"Year 3",0.00385817597687277
16,"Year 4",0.0018508098068506
16,"Year 5",0.00685045305275844
16,"Year 6",0.00173583878564054
16,"Year 7",0.0034187601289446
16,"Year 8",0.00764456586354179
16,"Year 9",-0.0014352961975117
16,"Year 10",0.0105868550167205
16,"Year 11",0.0067947021415673
16,"Year 12",0.00351243063213547
16,"Year 13",0.00188739595438125
16,"Year 14",0.0112825235433753
16,"Year 15",-0.00342165231117431
16,"Year 16",0.0118914445235809
16,"Year 17",0.00580906486490429
16,"Year 18",0.00663798626749301
16,"Year 19",-0.0610146521041495
16,"Year 20",0.0728141159262172
18,"Year 1",0.000605615693074935
18,"Year 2",0.00970475145572447
18,"Year 3",0.00217386553393606
18,"Year 4",0.00183705649329369
18,"Year 5",0.00496931834195813
18,"Year 6",0.00272290750584814
18,"Year 7",0.00497668813128938
18,"Year 8",0.00715721883208964
18,"Year 9",-0.00277102477107816
18,"Year 10",0.0137152220782912
18,"Year 11",0.00449117024048107
18,"Year 12",0.00366299828092487
18,"Year 13",-0.000198896496091727
18,"Year 14",0.0121181312628469
18,"Year 15",-0.00528401845635029
18,"Year 16",0.0179634814567535
18,"Year 17",0.00292378205971655
18,"Year 18",0.00763875894730948
18,"Year 19",-0.0612085356173742
18,"Year 20",0.0892340318434188
20,"Year 1",-0.00318344714810426
20,"Year 2",0.00433424334804666
20,"Year 3",-0.00188571871554188
20,"Year 4",-0.00162480638226015
20,"Year 5",0.000145863312399186
20,"Year 6",-0.000282923579986605
20,"Year 7",3.5058237604968e-05
20,"Year 8",0.00196502799515574
20,"Year 9",-0.00686800644717778
20,"Year 10",0.00974781386997225
20,"Year 11",-0.00047375938030747
20,"Year 12",0.000550839421910254
